no|project_name|sector|type_of_project|district|constituency|ward|project_site_location|year_funded|work_package_inclusive_of_cdf_branding|comments_remarks|page_number|table_number|source_document|year|cdf_category|extraction_method
1|Construction of 1x2 Classroom Block at Malombe Primary School|Education|Construction|Mumbwa|Mumbwa|Shimbizhi|Malombe Primary School|2025|1x2 Classroom Block|Approved|1|1|2025_Approved_Community_Projects_Mumbwa_Central_Recreated_Tables.pdf|2025|community_projects|reconstructed_then_pdfplumber
2|Construction of 1x2 Classroom Block at Kamilambo Primary School|Education|Construction|Mumbwa|Mumbwa|Kamilambo|Kamilambo|2025|1x2 Classroom Block|Approved|1|1|2025_Approved_Community_Projects_Mumbwa_Central_Recreated_Tables.pdf|2025|community_projects|reconstructed_then_pdfplumber
3|Completion of Kabawa Rural Health Post|Health|Completion|Mumbwa|Mumbwa|Chibolyo|Kabawa Rural Health Post|2025|1No. Health Post Incinerator|Approved|1|1|2025_Approved_Community_Projects_Mumbwa_Central_Recreated_Tables.pdf|2025|community_projects|reconstructed_then_pdfplumber
4|Completion of a Maternity Wing & Water Reticulation System|Health|Construction & Reticulation|Mumbwa|Mumbwa|Makebo|Kabwanga Rural Health Post|2025|Completion of Maternity Wing Water reticulation,incinerator, Equipping of facility (8 Beds,4 Chairs,4 Cabinets, 3 operation beds)|Approved|1|1|2025_Approved_Community_Projects_Mumbwa_Central_Recreated_Tables.pdf|2025|community_projects|reconstructed_then_pdfplumber
5|Construction of 1x2 Semi detached Teachers Staff House & installation of water reticulation at Kalenda Primary School|Education|Construction|Mumbwa|Mumbwa|Kalwanyembe|Kalenda Secondary School|2025 2025|1No. Semi detached Staff house Water Reticulation|Approved|1|1|2025_Approved_Community_Projects_Mumbwa_Central_Recreated_Tables.pdf|2025|community_projects|reconstructed_then_pdfplumber
6|Installation of a roofing system for 1x3 Classroom Block at Kitumba Community School|Education|Construction|Mumbwa|Mumbwa|Kalwanyembe|Kitumba Community School|2025|Installation of a roofing system for 1x3 Classroom Block at Kitumba Community School|Approved|1|1|2025_Approved_Community_Projects_Mumbwa_Central_Recreated_Tables.pdf|2025|community_projects|reconstructed_then_pdfplumber
7|Construction of Vet offices/Laboratory|Fisheries, Livestock and Veterinary serves|Construction|Mumbwa|Mumbwa|Mupona|Veterinery offices/Mumbwa|2025|1No. Office block with 12No. offices including fisheries and vet with ablutions|Approved|1|1|2025_Approved_Community_Projects_Mumbwa_Central_Recreated_Tables.pdf|2025|community_projects|reconstructed_then_pdfplumber
8|Rehabilitation of Nalusanga Market|Infrastructure|Construction|Mumbwa|Mumbwa|Nalusanga|Nalusanga Market|2025|Rehabilitation of 15mx12m shelter with+48 selling spaces accomodating 100 marketeers|Approved|1|1|2025_Approved_Community_Projects_Mumbwa_Central_Recreated_Tables.pdf|2025|community_projects|reconstructed_then_pdfplumber
3|Kawena|Roads Infrastructure|Rehabilitation|12.8km|Mumbwa|Nalusanga|Nalusanga|2025|Grading & Gravelling,30m|Approved|2|1|2025_Approved_Community_Projects_Mumbwa_Central_Recreated_Tables.pdf|2025|community_projects|reconstructed_then_pdfplumber
4|Chibuluma|Roads Infrastructure|Rehabilitation|41km|Mumbwa|Chibolyo|Chibolyo|2025|Grading & Gravellling,line and mitre drains|Approved|2|1|2025_Approved_Community_Projects_Mumbwa_Central_Recreated_Tables.pdf|2025|community_projects|reconstructed_then_pdfplumber
5|Kabwanga|Roads Infrastructure|Rehabilitation|6.2km|Mumbwa|Mumba|Mumba|2025|Grading & Gravellling,7.3m culverts to be installed|Approved|2|1|2025_Approved_Community_Projects_Mumbwa_Central_Recreated_Tables.pdf|2025|community_projects|reconstructed_then_pdfplumber
6|C1|Roads Infrastructure|Rehabilitation|3.5km|Mumbwa|Mupona|Mupona|2025|Grading & Gravellling,line and mitre drains|Approved|2|1|2025_Approved_Community_Projects_Mumbwa_Central_Recreated_Tables.pdf|2025|community_projects|reconstructed_then_pdfplumber
7|Lutale|Roads Infrastructure|Rehabilitation|10km|Mumbwa|Lutale|Lutale|2025|Grading & Gravellling,43m culverts to be installed|Approved|2|1|2025_Approved_Community_Projects_Mumbwa_Central_Recreated_Tables.pdf|2025|community_projects|reconstructed_then_pdfplumber
8|Nambala-Blue Lagoon|Roads Infrastructure|Rehabilitation|40km|Mumbwa|Nambala|Nambala|2025|Grading & Gravellling,43m culverts to be installed.|Approved|2|1|2025_Approved_Community_Projects_Mumbwa_Central_Recreated_Tables.pdf|2025|community_projects|reconstructed_then_pdfplumber
