no|project_name|project_description|sector|type_of_project|project_site_location|status|comments|page_number|table_number|source_id|source_document|constituency|year|cdf_category|extraction_method
1|Completion of a Health post|Completion of a Health post at Kakumbi Village|Health|Completion|Kakumbi Vilaage|Slab Level|Not in IDP|1|1|cdf_not_approved_projects_mumbwa_2025|NOT-APPROVED-COMMUNITY-PROJECTS-MUMBWA.pdf|Mumbwa|2025|not_approved_community_projects|recreated_pdf
2|Contruction of 1*3 Classroom Block|Contruction of 1*3 Classroom Block at Mabele Primary School|Education|Construction|Mabele Primary School||Not enough funds.|1|1|cdf_not_approved_projects_mumbwa_2025|NOT-APPROVED-COMMUNITY-PROJECTS-MUMBWA.pdf|Mumbwa|2025|not_approved_community_projects|recreated_pdf
3|Water Reticulation System|Water Reticulation System at Nambala Rural Health Post|Water|Reticulation|Nambala Rural Health Post||Not enough funds.|1|1|cdf_not_approved_projects_mumbwa_2025|NOT-APPROVED-COMMUNITY-PROJECTS-MUMBWA.pdf|Mumbwa|2025|not_approved_community_projects|recreated_pdf
4|Construction of 1*3 Classroom Block|Construction of 1*3 Classroom Block at Kankunka|Education|Construction|Kankunka||APPROVED|1|1|cdf_not_approved_projects_mumbwa_2025|NOT-APPROVED-COMMUNITY-PROJECTS-MUMBWA.pdf|Mumbwa|2025|not_approved_community_projects|recreated_pdf
5|Construction of 1*3 Classroom Block|Construction of 1*3 Classroom Block at Mululi Primary School|Education|Construction|Mululi Primary School||Not enough funds.|1|1|cdf_not_approved_projects_mumbwa_2025|NOT-APPROVED-COMMUNITY-PROJECTS-MUMBWA.pdf|Mumbwa|2025|not_approved_community_projects|recreated_pdf
6|Construction of ECD Community School|Construction of ECD Community School in Mwandami Community|Education|Construction|Within Mwandami Community ECD||Not enough funds.|1|1|cdf_not_approved_projects_mumbwa_2025|NOT-APPROVED-COMMUNITY-PROJECTS-MUMBWA.pdf|Mumbwa|2025|not_approved_community_projects|recreated_pdf
7|Construction of a Market Shelter at Chipwemuka market.|Construction of a Market Shelter at Chipwemuka market - Kayumweyumwe Zone|Market|Construction|Kayumweyumwe Zone||Not enough funds.|1|1|cdf_not_approved_projects_mumbwa_2025|NOT-APPROVED-COMMUNITY-PROJECTS-MUMBWA.pdf|Mumbwa|2025|not_approved_community_projects|recreated_pdf
8|Construction of a Girls Domitory|Construction of a Girls Domitory at Moomba Primary School|Education|Construction|Moomba Primary School||Not enough funds.|1|1|cdf_not_approved_projects_mumbwa_2025|NOT-APPROVED-COMMUNITY-PROJECTS-MUMBWA.pdf|Mumbwa|2025|not_approved_community_projects|recreated_pdf
9|Construction of 1*3 Classroom Block|Construction of 1*3 Classroom Block at Annie-Scott Community School|Education|Construction|Annie-Scott Community School||Not enough funds.|1|1|cdf_not_approved_projects_mumbwa_2025|NOT-APPROVED-COMMUNITY-PROJECTS-MUMBWA.pdf|Mumbwa|2025|not_approved_community_projects|recreated_pdf
10|Construction of a 1*3 Classroom Block Block|Construction of a 1*3 Classroom Block Block at Mumba Primary School|Education|Construction|Mumba Primary School||Not enough funds.|1|1|cdf_not_approved_projects_mumbwa_2025|NOT-APPROVED-COMMUNITY-PROJECTS-MUMBWA.pdf|Mumbwa|2025|not_approved_community_projects|recreated_pdf
