no|project_name|project_description|constituency|ward|project_site_location|scope_of_works|page_number|table_number|sn|name_of_roads|distance_km|scope_of_work|source_id|source_document|year|cdf_category|extraction_method
1|Construction of Kantengwa Bridge (Additional)|Construction of kantengwa Bridge (Additional)|Nangoma|Matala|Kantengwa|Additional Funding|1|1|||||cdf_community_projects_nangoma_2025|2025-Approved-Community-Projects-Nangoma-Constituency.pdf|2025|community_projects|recreated_pdf
2|Grading of 31km Nachibila to Nalubanda|Grading of 31km Nachibila to Nalubanda|Nangoma|Myooye Shichanzu Nalubanda|Myooye Shichanzu Nalubanda|Additional Funding|1|1|||||cdf_community_projects_nangoma_2025|2025-Approved-Community-Projects-Nangoma-Constituency.pdf|2025|community_projects|recreated_pdf
3|Procurement of Roller Compactor|270 litre Diesel Full hydraulic steering gear with Minimum operating weight of 20 Tonnes- Roller compactor|Nangoma|All|All|270 litre Diesel Full hydraulic steering gear with Minimum operating weight of 20 Tonnes- Roller compactor|1|1|||||cdf_community_projects_nangoma_2025|2025-Approved-Community-Projects-Nangoma-Constituency.pdf|2025|community_projects|recreated_pdf
4|Procurement of Tipper Truck|Procurement of Tipper Truck|Nangoma|All|All|Procurement of Tipper Truck|1|1|||||cdf_community_projects_nangoma_2025|2025-Approved-Community-Projects-Nangoma-Constituency.pdf|2025|community_projects|recreated_pdf
5|Upgrading of Nakabu secondary School by construction of a 1*3CRB with 90 Desks.|Construction of a 1*3CRB with procurement of 90 Desks.|Nangoma|Nangoma|Nakabu Secondary School|Construction of a 1*3CRB with procurement of 90 Desks.|1|1|||||cdf_community_projects_nangoma_2025|2025-Approved-Community-Projects-Nangoma-Constituency.pdf|2025|community_projects|recreated_pdf
6|Upgrading of Maimwene secondary school by construction of a 1*3 CRB with 90 desks|Construction of a 1*3 CRB with 90 desks|Nangoma|Nakasaka|Maimwene Secondary School|Construction of a 1*3CRB with procurement of 90 Desks.|1|1|||||cdf_community_projects_nangoma_2025|2025-Approved-Community-Projects-Nangoma-Constituency.pdf|2025|community_projects|recreated_pdf
7|Upgrading of Nalusanga Secondary School by construction of a 1*3 CRB with 90 desks.|construction of a 1*3 CRB with 90 desks.|Nangoma|Nalubanda|Nalubanda school|Construction of a 1*3 CRB with 90 desks.|1|1|||||cdf_community_projects_nangoma_2025|2025-Approved-Community-Projects-Nangoma-Constituency.pdf|2025|community_projects|recreated_pdf
8|Construction of a Maternal Annex and Incinerator at Muchabi Rural Health post|Construction of a Maternal Annex at Muchabi Rural Health post|Nangoma|Choma|Muchabi Rural Health post|Construction of a Maternity annex and incinerator|1|1|||||cdf_community_projects_nangoma_2025|2025-Approved-Community-Projects-Nangoma-Constituency.pdf|2025|community_projects|recreated_pdf
9|Construction of 1*3 CRB with 90desks at Luili Primary school|Construction of 1*3 CRB at Luili Primary school|Nangoma|Matala|Luili Primary school|Construction of a 1*3CRB with procurement of 90 Desks.|1|1|||||cdf_community_projects_nangoma_2025|2025-Approved-Community-Projects-Nangoma-Constituency.pdf|2025|community_projects|recreated_pdf
10|Construction of Semi Detached staff house at Mukubu Primary School|construction of semi Detached staff house at Mukubu Primary School|Nangoma|Keezwa|Mukubu|Construction of Semi detached staff house at mukubu Primary school|1|1|||||cdf_community_projects_nangoma_2025|2025-Approved-Community-Projects-Nangoma-Constituency.pdf|2025|community_projects|recreated_pdf
11|Drilling and installation of commercial borehole for water reticulation system at Mukupi primary School|Reticulation of a commercial borehole at Mukupi Primary School and water reticulation at Nachibila Primary school|Nangoma|Keezwa|Mukupi and Nachibila|Drilling and Installation of commercial borehole for water reticulation system at Mukupi Primary school|1|1|||||cdf_community_projects_nangoma_2025|2025-Approved-Community-Projects-Nangoma-Constituency.pdf|2025|community_projects|recreated_pdf
12|Rehabilitation of Munkola Bridge|Construction of riding of surfaces, desilting of culverts|Nangoma|Shichanzu|Munkola|Construction of riding of surfaces, desilting of culverts|1|1|||||cdf_community_projects_nangoma_2025|2025-Approved-Community-Projects-Nangoma-Constituency.pdf|2025|community_projects|recreated_pdf
13|Rehabilitation of Myooye Secondary School staff houses|Replacement of roofing truss system|Nangoma|Myooye|Myooye Secondary school|Rehabilitation of Myooye Secondary School staff houses|2|1|||||cdf_community_projects_nangoma_2025|2025-Approved-Community-Projects-Nangoma-Constituency.pdf|2025|community_projects|recreated_pdf
|||Nangoma|Nangoma|||2|2|1|Nakabu Road|14|Grading and Gravelling,line and mitre drain|cdf_community_projects_nangoma_2025|2025-Approved-Community-Projects-Nangoma-Constituency.pdf|2025|community_projects|recreated_pdf
|||Nangoma|Mumba|||2|2|2|Luili Road|25|Grading, gravelling and installtion of Culverts|cdf_community_projects_nangoma_2025|2025-Approved-Community-Projects-Nangoma-Constituency.pdf|2025|community_projects|recreated_pdf
|||Nangoma|Nalubanda|||2|2|3|Muchabi Road|12.5|Grading, gravelling and installtion of Culverts|cdf_community_projects_nangoma_2025|2025-Approved-Community-Projects-Nangoma-Constituency.pdf|2025|community_projects|recreated_pdf
