no|project_name|project_description|sector|type_of_project|province|district|constituency|ward|zone|project_site_location|comments|page_number|table_number|source_id|source_document|year|cdf_category|extraction_method
1|Drilling of a Borehole|Drilling of a Borehole in Muswela Village|Water|Drilling & Installation|Central|Mumbwa|Nangoma|Sichanzu|Malima|Muswela Village|In the IDP|1|1|cdf_not_approved_projects_nangoma_2025|NOT-APPROVED-COMMUNITY-PROJECTS-NANGOMA.pdf|2025|not_approved_community_projects|recreated_pdf
2|Drilling of a Borehole|Drilling of a Borehole in Munyelele|Water|Drilling & Installation|Central|Mumbwa|Nangoma|Sichanzu|Malima|Munyelele Community|In the IDP|1|1|cdf_not_approved_projects_nangoma_2025|NOT-APPROVED-COMMUNITY-PROJECTS-NANGOMA.pdf|2025|not_approved_community_projects|recreated_pdf
3|Drilling of a Borehole|Drilling of a Borehole in Mweemba B. Community at Anold Area|Water|Drilling & Installation|Central|Mumbwa|Nangoma|Sichanzu|Munkolo|Mweemba B. Community at Anold Area|In the IDP|1|1|cdf_not_approved_projects_nangoma_2025|NOT-APPROVED-COMMUNITY-PROJECTS-NANGOMA.pdf|2025|not_approved_community_projects|recreated_pdf
4|Drilling of a Borehole|Drilling of a Borehole in Makala Village - Manyongo Village|Water|Drilling & Installation|Central|Mumbwa|Nangoma|Sichanzu|Choombwa|Makala Village-Manyongo Area|Prioritization and not enough funds|1|1|cdf_not_approved_projects_nangoma_2025|NOT-APPROVED-COMMUNITY-PROJECTS-NANGOMA.pdf|2025|not_approved_community_projects|recreated_pdf
5|Drilling of a Borehole|Drilling of a Borehole in Mwaangu Village ( Trywell's Area)|Water|Drilling & Installation|Central|Mumbwa|Nangoma|Sichanzu|Choombwa|Mwaangu Village (Trywell's Area)|Prioritization and not enough funds|1|1|cdf_not_approved_projects_nangoma_2025|NOT-APPROVED-COMMUNITY-PROJECTS-NANGOMA.pdf|2025|not_approved_community_projects|recreated_pdf
6|Drilling of a Borehole|Drilling of a Borehole in Ntalasha Village|Water|Drilling & Installation|Central|Mumbwa|Nangoma|Sichanzu|Munkolo|Ntalasha West|Prioritization and not enough funds|1|1|cdf_not_approved_projects_nangoma_2025|NOT-APPROVED-COMMUNITY-PROJECTS-NANGOMA.pdf|2025|not_approved_community_projects|recreated_pdf
7|Drilling of a Borehole|Drilling of a Borehole in Choongwe Village Community|Water|Drilling & Installation|Central|Mumbwa|Nangoma|Sichanzu|Malima|Choongwe Village|Prioritization and not enough funds|1|1|cdf_not_approved_projects_nangoma_2025|NOT-APPROVED-COMMUNITY-PROJECTS-NANGOMA.pdf|2025|not_approved_community_projects|recreated_pdf
8|Drilling of a Solar Powered Borehole|Drilling of a Solar Powered Borehole in Shambeta Community (David Pali's Area)|Water|Drilling & Installation|Central|Mumbwa|Nangoma|Sichanzu|Namabanga|Shambeta Community|Prioritization and not enough funds|1|1|cdf_not_approved_projects_nangoma_2025|NOT-APPROVED-COMMUNITY-PROJECTS-NANGOMA.pdf|2025|not_approved_community_projects|recreated_pdf
9|Drilling of a Water Pump Project|Drilling of a Water Pump Project in Shabwando Village|Water|Drilling & Installation|Central|Mumbwa|Nangoma|Sichanzu|Malima|Shabwando Village|Prioritization and not enough funds|1|1|cdf_not_approved_projects_nangoma_2025|NOT-APPROVED-COMMUNITY-PROJECTS-NANGOMA.pdf|2025|not_approved_community_projects|recreated_pdf
10|Drilling of a Borehole|Drilling of a Borehole in Lukanga Village|Water|Drilling & Installation|Central|Mumbwa|Nangoma|Sichanzu|Malima|Lukanga Village|Prioritization and not enough funds|1|1|cdf_not_approved_projects_nangoma_2025|NOT-APPROVED-COMMUNITY-PROJECTS-NANGOMA.pdf|2025|not_approved_community_projects|recreated_pdf
