record_number|project_name|project_description|sector|type_of_project|district|constituency|ward|zone|project_site_location|distance_km|year_funded|work_package|scope_of_works|status|comments|source_id|year|cdf_category
1.0|Construction of 1x2 Classroom Block at Malombe Primary School||Education|Construction|Mumbwa|Mumbwa|Shimbizhi||Malombe Primary School||2025|1x2 Classroom Block||Approved||cdf_community_projects_mumbwa_2025|2025|community_projects
2.0|Construction of 1x2 Classroom Block at Kamilambo Primary School||Education|Construction|Mumbwa|Mumbwa|Kamilambo||Kamilambo||2025|1x2 Classroom Block||Approved||cdf_community_projects_mumbwa_2025|2025|community_projects
3.0|Completion of Kabawa Rural Health Post||Health|Completion|Mumbwa|Mumbwa|Chibolyo||Kabawa Rural Health Post||2025|1No. Health Post Incinerator||Approved||cdf_community_projects_mumbwa_2025|2025|community_projects
4.0|Completion of a Maternity Wing & Water Reticulation System||Health|Construction & Reticulation|Mumbwa|Mumbwa|Makebo||Kabwanga Rural Health Post||2025|Completion of Maternity Wing Water reticulation,incinerator, Equipping of facility (8 Beds,4 Chairs,4 Cabinets, 3 operation beds)||Approved||cdf_community_projects_mumbwa_2025|2025|community_projects
5.0|Construction of 1x2 Semi detached Teachers Staff House & installation of water reticulation at Kalenda Primary School||Education|Construction|Mumbwa|Mumbwa|Kalwanyembe||Kalenda Secondary School||2025 2025|1No. Semi detached Staff house Water Reticulation||Approved||cdf_community_projects_mumbwa_2025|2025|community_projects
6.0|Installation of a roofing system for 1x3 Classroom Block at Kitumba Community School||Education|Construction|Mumbwa|Mumbwa|Kalwanyembe||Kitumba Community School||2025|Installation of a roofing system for 1x3 Classroom Block at Kitumba Community School||Approved||cdf_community_projects_mumbwa_2025|2025|community_projects
7.0|Construction of Vet offices/Laboratory||Fisheries, Livestock and Veterinary serves|Construction|Mumbwa|Mumbwa|Mupona||Veterinery offices/Mumbwa||2025|1No. Office block with 12No. offices including fisheries and vet with ablutions||Approved||cdf_community_projects_mumbwa_2025|2025|community_projects
8.0|Rehabilitation of Nalusanga Market||Infrastructure|Construction|Mumbwa|Mumbwa|Nalusanga||Nalusanga Market||2025|Rehabilitation of 15mx12m shelter with+48 selling spaces accomodating 100 marketeers||Approved||cdf_community_projects_mumbwa_2025|2025|community_projects
3.0|Kawena||Roads Infrastructure|Rehabilitation|Mumbwa|Mumbwa|Nalusanga||Nalusanga|12.8km|2025|Grading & Gravelling,30m||Approved||cdf_community_projects_mumbwa_2025|2025|community_projects
4.0|Chibuluma||Roads Infrastructure|Rehabilitation|Mumbwa|Mumbwa|Chibolyo||Chibolyo|41km|2025|Grading & Gravellling,line and mitre drains||Approved||cdf_community_projects_mumbwa_2025|2025|community_projects
5.0|Kabwanga||Roads Infrastructure|Rehabilitation|Mumbwa|Mumbwa|Mumba||Mumba|6.2km|2025|Grading & Gravellling,7.3m culverts to be installed||Approved||cdf_community_projects_mumbwa_2025|2025|community_projects
6.0|C1||Roads Infrastructure|Rehabilitation|Mumbwa|Mumbwa|Mupona||Mupona|3.5km|2025|Grading & Gravellling,line and mitre drains||Approved||cdf_community_projects_mumbwa_2025|2025|community_projects
