record_number|project_name|project_description|sector|type_of_project|district|constituency|ward|zone|project_site_location|distance_km|year_funded|work_package|scope_of_works|status|comments|source_id|year|cdf_category
1|Completion of a Health post|Completion of a Health post at Kakumbi Village|Health|Completion||Mumbwa|||Kakumbi Vilaage|||||Slab Level|Not in IDP|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
2|Contruction of 1*3 Classroom Block|Contruction of 1*3 Classroom Block at Mabele Primary School|Education|Construction||Mumbwa|||Mabele Primary School||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
3|Water Reticulation System|Water Reticulation System at Nambala Rural Health Post|Water|Reticulation||Mumbwa|||Nambala Rural Health Post||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
4|Construction of 1*3 Classroom Block|Construction of 1*3 Classroom Block at Kankunka|Education|Construction||Mumbwa|||Kankunka||||||APPROVED|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
5|Construction of 1*3 Classroom Block|Construction of 1*3 Classroom Block at Mululi Primary School|Education|Construction||Mumbwa|||Mululi Primary School||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
6|Construction of ECD Community School|Construction of ECD Community School in Mwandami Community|Education|Construction||Mumbwa|||Within Mwandami Community ECD||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
7|Construction of a Market Shelter at Chipwemuka market.|Construction of a Market Shelter at Chipwemuka market - Kayumweyumwe Zone|Market|Construction||Mumbwa|||Kayumweyumwe Zone||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
8|Construction of a Girls Domitory|Construction of a Girls Domitory at Moomba Primary School|Education|Construction||Mumbwa|||Moomba Primary School||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
9|Construction of 1*3 Classroom Block|Construction of 1*3 Classroom Block at Annie-Scott Community School|Education|Construction||Mumbwa|||Annie-Scott Community School||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
10|Construction of a 1*3 Classroom Block Block|Construction of a 1*3 Classroom Block Block at Mumba Primary School|Education|Construction||Mumbwa|||Mumba Primary School||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
11|Construction of a Health Post|Construction of a Health Post in Mintuntu Zone|Health|Construction||Mumbwa|||Mintuntu Community||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
12|Construction of 1*3 Classroom Block|Construction of 1*3 Classroom Block at Kandesha Primary School|Education|Construction||Mumbwa|||Kandesha Primary||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
13|Drilling of boreholes around the Ward|Drilling of boreholes around the Ward in Shimbizhi Ward|Water|Reticulation||Mumbwa|||Shimbizhi Ward||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
14|Construction of 1*2 Class Room Block at Malombe Primary School|Construction of 1*2 Class Room Block at Malombe Primary School|Education|Construction||Mumbwa|||Malombe Primary School||||||APPROVED|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
15|Construction of 1*3 Classroom Block|Construction of 1*3 Classroom Block at Kaunga Primary School|Education|Construction||Mumbwa|||Kaunga Primary School||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
16|Completion of Health post|Completion of a Health post at Mpusu Rural Health Post|Health|Construction||Mumbwa|||Mpusu Rural Health Post||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
17|Construction of 1*3 Classroomblock|Construction of 1*3 Class Room Block at Itumbwe Community School.|Education|Construction||Mumbwa|||Itumbwe Community School||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
18|Construction of 1*3 Classroom Block|Construction of 1*3 Classroom Block at Kamilambo|Education|Construction||Mumbwa|||Kamilambo||||||APPROVED|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
19|Construction of a Health Post|Construction of a Health Post in Nkulumazhiba Zone|Health|Construction||Mumbwa|||Nkulumazhiba Zone||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
20|Grading of Roads|Grading of Roads in Musukamabwe Community|Roads|Grading||Mumbwa|||Musukamabwe Zone||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
21|Construction of 1*3 Classroom Block|Construction of 1*3 Classroom Block at Muyaya Community School|Education|Construction||Mumbwa|||Nkulumazhiba Community School||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
22|Construction of Teachers Staff House|Construction of Teachers Staff House at Chisenga Community School.|Education|Construction||Mumbwa|||Chisenga||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
23|Construction of 1*3 Classroom Block|Construction of 1*3 Classroom Block in Kapeshi Village- Chungu Area|Education|Construction||Mumbwa|||Kapeshi Village- Chunga Area||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
24|Grading of Roads|Grading of Roads in Kawena Zone|Roads|Grading||Mumbwa|||Kawena Zone||||||APPROVED|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
25|Construction of Malungu Bwaangwa Bridge &Grading, Water Challanges|Construction of Malungu Bwaangwa Bridge &Grading, Water Challanges|Roads|Construction||Mumbwa|||Malungu Community||||||Not enough funds.|cdf_not_approved_projects_mumbwa_2025|2025|not_approved_community_projects
