record_number|project_name|project_description|sector|type_of_project|district|constituency|ward|zone|project_site_location|distance_km|year_funded|work_package|scope_of_works|status|comments|source_id|year|cdf_category
1|Drilling of a Borehole|Drilling of a Borehole in Muswela Village|Water|Drilling & Installation|Mumbwa|Nangoma|Sichanzu|Malima|Muswela Village||||||In the IDP|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
2|Drilling of a Borehole|Drilling of a Borehole in Munyelele|Water|Drilling & Installation|Mumbwa|Nangoma|Sichanzu|Malima|Munyelele Community||||||In the IDP|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
3|Drilling of a Borehole|Drilling of a Borehole in Mweemba B. Community at Anold Area|Water|Drilling & Installation|Mumbwa|Nangoma|Sichanzu|Munkolo|Mweemba B. Community at Anold Area||||||In the IDP|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
4|Drilling of a Borehole|Drilling of a Borehole in Makala Village - Manyongo Village|Water|Drilling & Installation|Mumbwa|Nangoma|Sichanzu|Choombwa|Makala Village-Manyongo Area||||||Prioritization and not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
5|Drilling of a Borehole|Drilling of a Borehole in Mwaangu Village ( Trywell's Area)|Water|Drilling & Installation|Mumbwa|Nangoma|Sichanzu|Choombwa|Mwaangu Village (Trywell's Area)||||||Prioritization and not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
6|Drilling of a Borehole|Drilling of a Borehole in Ntalasha Village|Water|Drilling & Installation|Mumbwa|Nangoma|Sichanzu|Munkolo|Ntalasha West||||||Prioritization and not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
7|Drilling of a Borehole|Drilling of a Borehole in Choongwe Village Community|Water|Drilling & Installation|Mumbwa|Nangoma|Sichanzu|Malima|Choongwe Village||||||Prioritization and not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
8|Drilling of a Solar Powered Borehole|Drilling of a Solar Powered Borehole in Shambeta Community (David Pali's Area)|Water|Drilling & Installation|Mumbwa|Nangoma|Sichanzu|Namabanga|Shambeta Community||||||Prioritization and not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
9|Drilling of a Water Pump Project|Drilling of a Water Pump Project in Shabwando Village|Water|Drilling & Installation|Mumbwa|Nangoma|Sichanzu|Malima|Shabwando Village||||||Prioritization and not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
10|Drilling of a Borehole|Drilling of a Borehole in Lukanga Village|Water|Drilling & Installation|Mumbwa|Nangoma|Sichanzu|Malima|Lukanga Village||||||Prioritization and not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
11|Construction of a Maternity Annex & 2 Staff Houses|Construction of a Maternity Annex & 2 Staff Houses at Namabanga Health Post|Health|Construction|Mumbwa|Nangoma|Sichanzu|Namabanga|Namabanga Health Post||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
12|Construction of 1*3 Classroom Block & Staff House|Construction of 1*3 Classroom Block & Staff House at Sichanzu Community School|Education|Construction|Mumbwa|Nangoma|Sichanzu|Malima|Sichanzu Community School||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
13|Construction of 1*2 Classroom Block|Construction of 1*3 Classroom Block at Namabanga Primary School|Education|Construction|Mumbwa|Nangoma|Sichanzu|Namabanga|Namabanga Community School||||||Not enough funds|cdf_not_approved_projects_nangoma_2025|2025|not_approved_community_projects
