source_id|document|category|constituency|year|extraction_method|source_url|tracker_page
cdf_community_projects_mumbwa_2025|2025-Approved-Community-Projects-Mumbwa-Central.pdf|Community Projects|Mumbwa|2025|recreated_pdf|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/06/2025-Approved-Community-Projects-Mumbwa-Central.pdf|https://www.mumbwacouncil.gov.zm/?page_id=932
cdf_not_approved_projects_mumbwa_2025|NOT-APPROVED-COMMUNITY-PROJECTS-MUMBWA.pdf|Not Approved Community Projects|Mumbwa|2025|recreated_pdf|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/12/NOT-APPROVED-COMMUNITY-PROJECTS-MUMBWA.pdf|https://www.mumbwacouncil.gov.zm/?page_id=932
cdf_skills_bursaries_mumbwa_2025|2025-Approved-CDF-Skills-Development-Bursaries-for-Mumbwa-Constituency.pdf|Skills Bursaries|Mumbwa|2025|recreated_pdf|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/09/2025-Approved-CDF-Skills-Development-Bursaries-for-Mumbwa-Constituency.pdf|https://www.mumbwacouncil.gov.zm/?page_id=932
cdf_secondary_bursaries_mumbwa_2025|2025-Approved-CDF-Secondary-Boarding-School-Bursaries-for-Mumbwa-Constituency.pdf|Secondary Bursaries|Mumbwa|2025|recreated_pdf|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/09/2025-Approved-CDF-Secondary-Boarding-School-Bursaries-for-Mumbwa-Constituency.pdf|https://www.mumbwacouncil.gov.zm/?page_id=932
cdf_grants_mumbwa_2025|2025-Approved-CDF-Grants-for-Mumbwa-Constituency.pdf|Grants|Mumbwa|2025|recreated_pdf|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/09/2025-Approved-CDF-Grants-for-Mumbwa-Constituency.pdf|https://www.mumbwacouncil.gov.zm/?page_id=932
cdf_community_projects_nangoma_2025|2025-Approved-Community-Projects-Nangoma-Constituency.pdf|Community Projects|Nangoma|2025|recreated_pdf|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/06/2025-Approved-Community-Projects-Nangoma-Constituency.pdf|https://www.mumbwacouncil.gov.zm/?page_id=932
cdf_not_approved_projects_nangoma_2025|NOT-APPROVED-COMMUNITY-PROJECTS-NANGOMA.pdf|Not Approved Community Projects|Nangoma|2025|recreated_pdf|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/12/NOT-APPROVED-COMMUNITY-PROJECTS-NANGOMA.pdf|https://www.mumbwacouncil.gov.zm/?page_id=932
cdf_grants_nangoma_2025|2025-Approve-CDF-Grants-for-Nangoma-Constituency.pdf|Grants|Nangoma|2025|recreated_pdf|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/09/2025-Approve-CDF-Grants-for-Nangoma-Constituency.pdf|https://www.mumbwacouncil.gov.zm/?page_id=932
cdf_skills_bursaries_nangoma_2025|2025-Approved-CDF-Skills-Development-Bursaries-for-Nangoma-Constituency.pdf|Skills Bursaries|Nangoma|2025|recreated_pdf|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/09/2025-Approved-CDF-Skills-Development-Bursaries-for-Nangoma-Constituency.pdf|https://www.mumbwacouncil.gov.zm/?page_id=932
cdf_secondary_bursaries_nangoma_2025|2025-Approved-CDF-Secondary-Boarding-School-Bursaries-for-Nangoma-Constituency.pdf|Secondary Bursaries|Nangoma|2025|recreated_pdf|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/09/2025-Approved-CDF-Secondary-Boarding-School-Bursaries-for-Nangoma-Constituency.pdf|https://www.mumbwacouncil.gov.zm/?page_id=932
