year|financial_type|category/code|description|amount|source
2024|Actual Receipt (Main Statement)|Note 2|Local Taxes|2092554.0|2024 Audited Financial Statements PDF
2024|Actual Receipt (Main Statement)|Note 3|Fees and Charges|6541942.0|2024 Audited Financial Statements PDF
2024|Actual Receipt (Main Statement)|Note 4|Licences|674646.0|2024 Audited Financial Statements PDF
2024|Actual Receipt (Main Statement)|Note 5|Levies|3771696.0|2024 Audited Financial Statements PDF
2024|Actual Receipt (Main Statement)|Note 6|Permits|1981858.0|2024 Audited Financial Statements PDF
2024|Actual Receipt (Main Statement)|Note 7|Local Govt Equalisation Fund|17373798.0|2024 Audited Financial Statements PDF
2024|Actual Receipt (Main Statement)|Note 8|Constituency Development Fund|45980506.0|2024 Audited Financial Statements PDF
2024|Actual Receipt (Main Statement)|Note 9|Other Grants|5444737.0|2024 Audited Financial Statements PDF
2024|Actual Receipt (Main Statement)|Note 11|Commercial Venture|8514.0|2024 Audited Financial Statements PDF
2024|Actual Receipt (Main Statement)|Note 12|Sector Grants|30139558.0|2024 Audited Financial Statements PDF
2024|Actual Receipt (Main Statement)|Note 13|Other Receipts|1005074.0|2024 Audited Financial Statements PDF
2024|Actual Payment (Main Statement)|Note 14|Personal Emoluments|16373373.0|2024 Audited Financial Statements PDF
2024|Actual Payment (Main Statement)|Note 15|Use of Goods and Services|20118360.0|2024 Audited Financial Statements PDF
2024|Actual Payment (Main Statement)|Note 17|Social Benefits|18122321.0|2024 Audited Financial Statements PDF
2024|Actual Payment (Main Statement)|Note 18|Non-Financial Assets Acquisition|46976686.0|2024 Audited Financial Statements PDF
2024|Actual Payment (Main Statement)|Note 19|Financial Assets|6949855.0|2024 Audited Financial Statements PDF
2024|Actual Payment (Main Statement)|Note 21|Other Payments|2508094.0|2024 Audited Financial Statements PDF
2024|Actual LGEF Expenditure|LGEF 7(b)|LGEF - Personal Emoluments (Salaries & Wages)|16015829.0|2024 Audited Financial Statements PDF
2024|Actual LGEF Expenditure|LGEF 7(b)|LGEF - Service Provision|563468.0|2024 Audited Financial Statements PDF
2024|Actual LGEF Expenditure|LGEF 7(b)|LGEF - Goods and Services|467595.0|2024 Audited Financial Statements PDF
2024|Actual LGEF Expenditure|LGEF 7(b)|LGEF - Administrative Costs|80288.0|2024 Audited Financial Statements PDF
2024|Actual LGEF Expenditure|LGEF 7(c)|LGEF - Infrastructure Development|247615.0|2024 Audited Financial Statements PDF
2024|Actual CDF Expenditure|CDF 8(d)|CDF - Infrastructure Development|23299108.0|2024 Audited Financial Statements PDF
2024|Actual CDF Expenditure|CDF 8(e)|CDF - Rehabilitation Works|11555283.0|2024 Audited Financial Statements PDF
2024|Actual CDF Expenditure|CDF 8(f)|CDF - Asset Acquisition|8115473.0|2024 Audited Financial Statements PDF
2024|Actual CDF Expenditure|CDF 8(g)|CDF - Bursaries (Secondary & Skills)|10280360.0|2024 Audited Financial Statements PDF
2024|Actual CDF Expenditure|CDF 8(h)|CDF - Empowerment Grants|4826650.0|2024 Audited Financial Statements PDF
2024|Actual CDF Expenditure|CDF 8(i)|CDF - Empowerment Loans|6949855.0|2024 Audited Financial Statements PDF
2024|Actual CDF Expenditure|CDF 8(j)|CDF - Administrative Costs|2949896.0|2024 Audited Financial Statements PDF
2024|Actual CDF Expenditure|CDF 8(k)|CDF - Disaster Contingency|211194.0|2024 Audited Financial Statements PDF
