year|financial_type|category/code|description|amount|source
2026|Revenue Budget|001 (Local taxes/rates)|Residential|863624.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|002 (Local taxes/rates)|Commercial|694382.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|003 (Local taxes/rates)|Industrial|682464.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|004 (Local taxes/rates)|Hospitality|956218.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|005 (Local taxes/rates)|Mining/Plant|604958.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|006 (Local taxes/rates)|Power transmission|416572.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|007 (Local taxes/rates)|Plant and Machinery|559125.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|001 (Local taxes/rates)|Personal levy|90000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|001 (Fees and Charges)|Consent fees|506900.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|002 (Fees and Charges)|Survey fees|552000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|003 (Fees and Charges)|Building inspection-fees|35000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|004 (Fees and Charges)|Plan scrutiny fee|4350.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|005 (Fees and Charges)|Change of premise use|45839.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|007 (Fees and Charges)|Rentals/lease of Council’s properties|138000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|008 (Fees and Charges)|Non-Land Application forms fees|236020.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|009 (Fees and Charges)|Rentals from houses|27000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|011 (Fees and Charges)|Search fees|6000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|013 (Fees and Charges)|Market fees|350150.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|014 (Fees and Charges)|Parking fees|36000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|016 (Fees and Charges)|Loading fees (buses, trucks, trains, taxies etc.)|1424375.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|017 (Fees and Charges)|Affidavit fees|26400.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|020 (Fees and Charges)|Hire of halls|1500.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|032 (Fees and Charges)|Hire of plant and equipment|175000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|033 (Fees and Charges)|Refuse disposal|90000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|035 (Fees and Charges)|Commercial & non-commercial Exhibitions|73800.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|037 (Fees and Charges)|Farm visits|40080.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|039 (Fees and Charges)|Franchise fees|9400.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|041 (Fees and Charges)|Dumb site fees|20000.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|042 (Fees and Charges)|Animal Ante mortem fees|4800.0|2026 Approved Budget PDF (Pages 2-5)
2026|Revenue Budget|043 (Fees and Charges)|Registration (Brand marks)|2000.0|2026 Approved Budget PDF (Pages 2-5)
