project_id|council|project_name|category|phase|start_year|end_year|priority|status_2023|location|description|estimated_unit_cost_zmw|estimated_total_cost_zmw|available_quantity_2023|proposed_quantity|quantity_shortfall|verification_status|currency|source_document|source_year
MTC-DS-001|Mumbwa Town Council|Site identification|Planning|Short term|0|10|Immediate|Proposed|Shilimatanga Village, Chief Mumba|Identify and confirm the landfill site.||||||Narrative-confirmed|ZMW|Mumbwa Town Council Dump Site Profile – 2023|2023
MTC-DS-002|Mumbwa Town Council|Documentation and regulatory approvals|Planning|Short term|0|10|Immediate|Proposed|Mumbwa District|Prepare relevant documentation and obtain approvals.||||||Narrative-confirmed|ZMW|Mumbwa Town Council Dump Site Profile – 2023|2023
MTC-DS-003|Mumbwa Town Council|Dump-site boundary fencing|Civil works|Short term|0|10|Immediate|Proposed|Kamilambo Road dump site|Fence the facility to control access and encroachment.|300000|300000|0|1|1|Cost-needs-source-check|ZMW|Mumbwa Town Council Dump Site Profile – 2023|2023
MTC-DS-004|Mumbwa Town Council|Waste segregation bays|Civil works|Short term|0|10|Immediate|Proposed|Primary and secondary collection points|Construct segregation sections for controlled separation at source.|100000|200000|2|4|2|Cost-needs-source-check|ZMW|Mumbwa Town Council Dump Site Profile – 2023|2023
MTC-DS-005|Mumbwa Town Council|TLB/front-end loader/excavator|Equipment|Short term|0|10|Immediate|Not available|Dump site|Acquire earth-moving equipment for landfill operations.|2000000|2000000|0|1|1|Cost-needs-source-check|ZMW|Mumbwa Town Council Dump Site Profile – 2023|2023
MTC-DS-006|Mumbwa Town Council|Compactor/roller|Equipment|Short term|0|10|Immediate|Not available|Dump site|Acquire equipment to compact deposited waste.|3000000|3000000|0|1|1|Cost-needs-source-check|ZMW|Mumbwa Town Council Dump Site Profile – 2023|2023
MTC-DS-007|Mumbwa Town Council|Controlled spreading, compacting and soil cover|Operations|Short term|0|10|Immediate|Proposed|Active dump area|Spread, compact and cover waste with a thin soil layer.||||||Narrative-confirmed|ZMW|Mumbwa Town Council Dump Site Profile – 2023|2023
MTC-DS-008|Mumbwa Town Council|Engineered landfill cells|Civil works|Medium term|10|30|Planned|Proposed|Dump site|Clear land and excavate approximately 100 m by 100 m cells.||||10||Narrative-confirmed|ZMW|Mumbwa Town Council Dump Site Profile – 2023|2023
MTC-DS-009|Mumbwa Town Council|Leachate ponds|Environmental protection|Medium term|10|30|Planned|Proposed|Dump site|Collect and store leachate to reduce contamination.||||||Narrative-confirmed|ZMW|Mumbwa Town Council Dump Site Profile – 2023|2023
MTC-DS-010|Mumbwa Town Council|Landfill gas breather-pipe network|Environmental protection|Medium term|10|30|Planned|Proposed|Engineered landfill cells|Install UPVC breather pipes to mitigate gas hazards.||||||Narrative-confirmed|ZMW|Mumbwa Town Council Dump Site Profile – 2023|2023
MTC-DS-011|Mumbwa Town Council|Guard house|Buildings|Medium term|10|30|Planned|Proposed|Facility entrance|Provide security and regulate entry and exit.||||1||Narrative-confirmed|ZMW|Mumbwa Town Council Dump Site Profile – 2023|2023
MTC-DS-012|Mumbwa Town Council|Revenue office|Buildings|Medium term|10|30|Planned|Proposed|Facility entrance|Collect authorized facility fees.||||1||Narrative-confirmed|ZMW|Mumbwa Town Council Dump Site Profile – 2023|2023
MTC-DS-013|Mumbwa Town Council|Ablution block|Buildings|Medium term|10|30|Planned|Proposed|Dump site|Provide sanitation for staff and visitors.||||1||Narrative-confirmed|ZMW|Mumbwa Town Council Dump Site Profile – 2023|2023
MTC-DS-014|Mumbwa Town Council|Water-quality monitoring boreholes|Environmental monitoring|Medium term|10|30|Planned|Proposed|Boreholes A and B|Monitor surface-water and groundwater contamination.||||2||Narrative-confirmed|ZMW|Mumbwa Town Council Dump Site Profile – 2023|2023
MTC-DS-015|Mumbwa Town Council|Landfill decommissioning and land reclamation|Closure and rehabilitation|Long term|30|50|Future|Proposed|Entire facility|Decommission, reclaim and revegetate the filled facility.||||||Narrative-confirmed|ZMW|Mumbwa Town Council Dump Site Profile – 2023|2023
MTC-DS-016|Mumbwa Town Council|Waste-management staff attachment|Capacity building|Short term|0|10|Recommended|Proposed|Successful council or institution|Sponsor staff for a one-to-three-month attachment.||||||Narrative-confirmed|ZMW|Mumbwa Town Council Dump Site Profile – 2023|2023
MTC-DS-017|Mumbwa Town Council|Waste-management short courses and refresher training|Capacity building|Short term|0|10|Recommended|Proposed|Reputable training institution|Provide training in modern waste-management methods.||||||Narrative-confirmed|ZMW|Mumbwa Town Council Dump Site Profile – 2023|2023
