strategy|activity|input|cost_2024|cost_2025|cost_2026|cost_2027|cost_2028|proposed_source_of_funding|source_of_information
|||2024.0|2025.0|2026.0|2027.0|2028.0||
Increase Agricultural Production and Productivity|Construct 25 Camp houses|Human resource|8750000.0|9625000.0|10587500.0|11646250.0|12810875.0|LA/MoA|MoA
|Rehabilitate 4 Camp Houses|Human resource|125000.0|137500.0|151250.0|166375.0|0.0|Local A/MoA|MoA
|Construct 6 Block Houses|Human resource|400000.0|440000.0|484000.0|532400.0|0.0|MoA & Local authority (CDF)|MoA
|Construct 2 Office blocks at district level|Human resource|1000000.0|0.0|1200000.0|0.0|0.0|MoA & Local authority (CDF)|MoA
|Construction of 15 Office blocks at field level|Human resource|320000.0|352000.0|387200.0|425920.0|468512.0|MoA & Local authority (CDF)|MoA
|Construct a Farmer Training Centre (FTC)|Human resource|500000.0|550000.0|605000.0|665500.0|1232050.0|MoA, Local authority (CDF) & donor|MoA
|acquire processing equipment||||||||
|Farmer sensitizations on tractor mechanization|Human resource|20000.0|22000.0|24200.0|26620.0|29282.0|MoA & private sector|MoA
|Farmer sensitizations on animal draught power|Human resource|20000.0|22000.0|24200.0|26620.0|29282.0|MoA & private sector|MoA
|Farmer sensitizations on crop processing services|Human resource|20000.0|22000.0|24200.0|26620.0|29282.0|MoA & private sector|MoA
Improve agricultural production and productivity|Training of mechanisation service providers in mechanisation service provision|Human resource|120000.0||145200.0|159720.0|175692.0|MoA & private sector|MoA
Improve agricultural production and productivity|Conduct Farm Block land audit|Human resource|112000.0||135520.0|149072.0|163979.0|MoA & private sector|MoA
|Conduct Resettlement|Human resource|80000.0||96800.0|106480.0|117128.0|MoA & private sector|MoA
Schemes land audit|||||||||
Conduct Inventory of hectares under production|Human resource|80,000||88000.0|96800.0|106480.0|117128.0|MoA & Private sector|MoA
Establish a new farm block|Human resource|200,000||220000.0|242000.0|266200.0|292820.0|MoA & Private sector|MoA
|TOTAL|2,362,000||2598200.0|2858020.0|3143822.0|3458204.0||
Procure 37 Motorbikes|Human resource||700000.0|770000.0|847000.0|1031700.0|1134870.0|MoA & Local authority (CDF)|MoA
Procure 1 Vehicle (Landcruizer)|Human resource||0.0|0.0|1400000.0|0.0|0.0|MoA & Local authority (CDF)|MoA
Delimitation of Camp and Block Boundaries|Human resource||100000.0|110000.0|121000.0|133100.0|146410.0|MoA|MoA
Train 27,131 Farmers in Climate Smart Agriculture|Human resource||40000.0|44000.0|48400.0|53240.0|58564.0|MoA|MoA
Conduct Agriculture Staff|Human resource||20000.0|22000.0|24200.0|26620.0|29282.0|MoA|MoA
and productivity|Estalishment of 4 Irrigation Schemes|Human resource|0.0|4500000.0|4950000.0|5445000.0|5989500.0|MoA, Local authority (CDF) & private sector|MoA
|Construct 6 Dams|Human resource|5000000.0|5500000.0|6050000.0|6655000.0|7320500.0|MoA, Local authority (CDF) & private sector|MoA
|Rehabilitate 5 Dams|Human resource|4000000.0|4400000.0|4840000.0|5324000.0|5856400.0|MoA, Local authority (CDF) & private sector|MoA
