strategy|activity|input|cost_2024|cost_2025|cost_2026|cost_2027|cost_2028|proposed_source_of_funding|source_of_information
|||2024.0|2025.0|2026.0|2027.0|2028.0||
Strengthen the Criminal and Justice System and Enhance Rule of Law|Construction of 6 police posts|Human Resource|2100000.0|2310000.0|2541000.0|2795100.0|3074610.0|MLGRD/CDF|MLGRD/ZP
Strengthen the Criminal and Justice System and Enhance Rule of Law|Rehabilitation of 2 police posts|Human Resource|0.0|0.0|600000.0|0.0|600000.0|MLGRD/CDF|MLGRD/ZP
Strengthen the Criminal and Justice System and Enhance Rule of Law|Construction of 8 Staff houses in the Police post.|Human Resource|0.0|1961780.0|2157958.0|2373754.0|2611129.0|MLGRD/CDF|MLGRD/ZP
Strengthen the Criminal and Justice System and Enhance Rule of Law|Construction of 2 Administration blocks|Human Resource|0.0|0.0|1000000.0|0.0|1000000.0|MLGRD/CDF|MLGRD/ZP
Strengthen the Criminal and Justice System and Enhance Rule of Law|Procurement of 3 Motor Vehicles|Human Resource|1200000.0|0.0|1440000.0|0.0|1728000.0|MLGRD/CDF|MLGRD/ZP
Strengthen the Criminal and Justice System and Enhance Rule of Law|Procurement of 21 Motor bikes for each police Station|Human Resource|380952.0|419048.0|460952.0|507048.0|557752.0|MLGRD/CDF|MLGRD/ZP
Strengthen the Criminal and Justice System and Enhance Rule of Law|Train Community Crime Prevention|Human Resource|300000.0|330000.0|363000.0|399300.0|439230.0|MLGRD/CDF|MLGRD/ZP
Strengthen the Criminal and Justice System and Enhance Rule of Law|Members (CCPU)||||||||
Strengthen the Criminal and Justice System and Enhance Rule of Law|Conduct Crime Sensitization activities in 30 schools and villages|Human Resource|100000.0|110000.0|121000.0|133100.0|146410.0|MLGRD/CDF|MLGRD/ZP
Strengthen the Criminal and Justice System and Enhance Rule of Law|Train and deploy 500 police officers|Human Resource|4000000.0|4400000.0|4840000.0|5324000.0|5856400.0|MLGRD/CDF|MLGRD/ZP
Strengthen the Criminal and Justice System and Enhance Rule of Law||TOTAL|8080952.0|9530828.0|13523910.0|11532301.0|16013532.0||
