strategy|activity|input|cost_2024|cost_2025|cost_2026|cost_2027|cost_2028|proposed_source_of_funding|source_of_information
Goal 2: To Provide Universal Coverage Health, Education and Skills Development Services; and Reduced Poverty, Vulnerabilities and Inequalities in the District by 2034.|||||||||
Objective 1: The Ministry of Health will work in collaboration with the Local Authority to provide equitable access to cost effective quality health care services as close to the family as possible by 2034.|||||||||
Objective 1: The Ministry of Health will work in collaboration with the Local Authority to provide equitable access to cost effective quality health care services as close to the family as possible by 2034.|||2024|2025|2026|2027|2028||
Increase access to quality health care|Construction of 21 health posts|Human Resource|2,800,000|2,310,000|2,541,000|2,795,100|3,074,610|Local Authority (CDF)/MOH|MOH
Increase access to quality health care|Expansion of 1st level hospital to 2nd level hospital|Human Resource|0|0|0|0|0|Local Authority (CDF)/MOH|MOH
Increase access to quality health care|Expansion of 4 existing health centers to mini hospitals|Human Resource|0|1,980,000|2,178,000|2,395,800|2,635,380|Local Authority (CDF)/MOH|MOH
Increase access to quality health care|Construction of 2 mourners shelters|Human Resource|0|99,000|0|118,800|0|Local Authority (CDF)/MOH|MOH
Increase access to quality health care|Construction of wall fence|Human Resource|0|800,000|800,000|0|0|Local Authority (CDF)/MOH|MOH
Increase access to quality health care|Completion of existing health post structures|Human Resource|0|800,000|880,000|968,000|1,064,800|Local Authority (CDF)/MOH|MOH
Increase access to quality health care|Construction of 35 staff houses|Human Resource|3,900,000|4,290,000|4,719,000|5,190,900|5,709,990|Local Authority (CDF)/MOH|MOH
Increase access to quality health care|Expand infrastructure of 18 maternity annexes/wings|Human Resource|3,280,000|3,608,000|3,968,800|4,365,680|4,802,248|Local Authority (CDF)/MOH|MOH
Increase access to quality health care|Procurement of 3 Ambulances|Human Resource|2,700,000|0|3,240,000|0|3,888,000|Local Authority (CDF)/MOH|MOH
Increase access to quality health care|Procurement of 3 Utility vehicles|Human Resource|0|1,600,000|1,760,000|1,936,000|0|Local Authority (CDF)/MOH|MOH
Increase access to quality health care|Procurement of 19 autoclaving machines|Human Resource|0|300,000|330,000|363,000|399,300|Local Authority (CDF)/MOH|MOH
Increase access to quality health care|Construction of 18 shelthers for waiting mothers|Human Resource|1,600,000|1,760,000|1,936,000|2,129,600|2,342,560|Local Authority (CDF)/MOH|MOH
Increase access to quality health care|Expansion of health facilities to include youth friendly spaces|Human Resource|1,050,000|1,155,000|1,270,500|1,397,550|1,537,305|Local Authority (CDF)/MOH|MOH
Increase access to quality health care|Construction of Mental Health ward|Human Resource|200,000|220,000|242,000|266,200|292,820|Local Authority (CDF)/MOH|MOH
Increase access to quality health care|Training of 35 health care workers in family planning methods|Human Resource|0|0|0|0|0|Local Authority(CDF)/ MOH|MOH
Increase access to quality health care|Construction of 2 isolation wards|Human Resource|0|0|2,400,000|0|2,880,000|Local Authority(CDF)/ MOH|MOH
Increase access to quality health care|Procurement of digital X ray machine|Human Resource||||||Local Authority(CDF)/ MOH|MOH
Increase access to quality health care|Procurement of Ultra Sound machine|Human Resource|0|0|950,000|0|0|Local Authority(CDF)/ MOH|MOH
Increase access to quality health care|Procurement of 2 water distillers|Human Resource|0|170,000|0|0|0|Local Authority(CDF)/ MOH|MOH
Increase access to quality health care|Construction of a physiotherapy block|Human Resource|0|0|1,200,000|0|0|Local Authority(CDF)/ MOH|MOH
Increase access to quality health care|Carry out monthly radio programmes|Human Resource|60,000|66,000|72,600|79,860|87,846|local Authority(CDF)/ MOH|MOH
Increase access to quality health care|Carry out outreach services|Human Resource|73,500|80,850|88,935|97,829|107,611|Local Authority(CDF)/ MOH|MOH
Increase access to quality health care|Hold quarterly NHC meetings|Human Resource|73,500|80,850|88,935|97,829|107,611|Local Authority(CDF)/ MOH|MOH
Increase access to quality health care|Hold monthly HCC meetings|Human Resource|70,000|77,000|84,700|93,170|102,487|Local Authority(CDF)/ MOH|MOH
Increase access to quality health care|Connection of 17 health facilities to the national grid|Human Resource|432,941|476,235|523,859|576,245|633,869|Local Authority(CDF)/ MOH|MOH
Increase access to quality health care|Connection of water reticulation to 16 health facilities|Human Resource|1,952,000|2,147,200|2,361,920|2,598,112|2,857,923|Local Authority(CDF)/ MOH|MOH
Increase access to quality health care||TOTAL|18,191,941|20,011,135|22,012,249|24,213,474|26,634,821||
Objective 4: The Ministry of Education will collaborate with the Local Authority to enhance access to quality, equitable and Comprehensive Education by 2034.|||||||||
Strengthen Public Health|Construction of 13 standalone ECE centers in 13 Primary Schools|Human Resource|0|2,250,000|2,475,000|2,722,500|2,994,750|MOE/LA|MOE/LA
Strengthen Public Health|Construction of 50 X 1 X 3 classroom blocks|Human Resource|9,800,000|10,780,000|11,858,000|13,043,800|14,348,180|MOE/LA|MOE
Strengthen Public Health|Construction of 25 Community schools|Human Resource|9,800,000|10,780,000|11,858,000|13,043,800|14,348,180|MOE/LA|MOE/LA
Strengthen Public Health|Upgrading of 3 Secondary Schools in the District|Human Resource|0|998,000|1,097,800|1,207,580|0|MOE/LA|MOE/LA
Strengthen Public Health|Construction of 30 houses in some schools|Human Resource|4,680,000|5,148,000|5,662,800|6,229,080|6,851,988|MOE/LA|MOE
Strengthen Public Health|Construct of 4 Weekly Boarding Facilities in 10 secondary schools|Human Resource|1,920,000.00|2,112,000|2,323,200|2,555,520|2,811,072|MOE/LA|MOE
Strengthen Public Health|Procurement of 498 Office tables and 498 office chairs in all the Schools in the District|Human Resource|129,800.00|142,780|157,058|172,764|190,040|MOE|MOE
Strengthen Public Health|Recruitment of 2000 teachers in the District|Human Resource|12,000,000.0 0|13,200,000|14,520,000|15,972,000|17,569,200|MOE|MOE
Strengthen Public Health|Procurement of 15, 000 desks in all the schools|Human Resource|4,500,000.00|4,950,000|5,445,000|5,989,500|6,588,450|MOE/LA|MOE
Strengthen Public Health|Construction of 1 College of Education|Human Resource|0|0|16,666,667|18,333,333|20,166,667|MOE/LA|MOE
Strengthen Public Health|Adjust 10 clasrroms stairs to accommodate the inclusion of learners with disabilities|Human resource|10,000|20,000|40,000|80,001|160,002|MOE/LA|MOE
Strengthen Public Health|Construction of 3 schools|Muman Resource|0|1,020,000.00|1,122,000.00|1,234,200.00|0.00|MOE/LA|MOE
Strengthen Public Health|Upgrading of Primary Schools into Secondary Schools|Muman Resource|0|11,200,000|12,320,000|13,552,000|14,907,200 MOE||MOE
Strengthen Public Health|Completion of mumbwa skills vocation center|Human Resource|0.00|0.00|6,666,666.67|7,333,333.33|8,066,666.67|TEVETA/MOE/L A|TEVETA
