strategy|programme|activity|location_by_priority|target_2024|target_2025|target_2026|target_2027|target_2028|responsible_agency
Increase Agricultural Production and Productivity|Infrastructure Development|Construct 25 camp houses for extension officers|Choombwa, Kamilambo, Kawama, Kafwikamo, Chipa, Chikanda, Naluvwi, Moono, Mumba, Myooye, Matala, Nalusanga, Mupona, Kabwanga, Chibila, Kashinka, Shimbizhi, Nangoma, Mumba Scheme, Chiwena, Chona, Nakasaka, Moono, Mulendema, Chibuluma camps|5|5|5|5|5|MoA, Local authority, Works and Supply
Increase Agricultural Production and Productivity|Infrastructure Development|Rehabilitate existing camp houses|Mpusu, Muchabi, Kalwanyembe and Nalubanda camps|0|2|2|0|0|MoA, Town council, Works and Supply
Increase Agricultural Production and Productivity|Infrastructure Development|Provide adequate accommodation for Extension officers by constructing 6 block houses|Kaindu, Nalubanda, Nambala, Nangoma, Mumbwa central and Nalusanga blocks|1|1|1|2|1|MoA, Local Authority, Works and Supply
Increase Agricultural Production and Productivity|Infrastructure Development|Construct Office Blocks|District offices|0|0|2|0|0|MoA, Local Authority,
Increase Agricultural Production and Productivity|Infrastructure Development||||||||Works and Supply
Increase Agricultural Production and Productivity|Infrastructure Development|Construction of Office Blocks for Extension Officers|Kaindu, Nalubanda, Nambala, Nangoma, Mumbwa central, Nalusanga blocks. Choombwa, Muchabi, Chipa, Chona, Chikanda, Nakasaka, Chibuluma, Kamilambo, Kalwanyembe Camps|3|3|3|3|3|MoA, Local Authority, Works and Supply
Increase Agricultural Production and Productivity|Infrastructure Development|Construction of Farmer Training Center|Mumba Scheme Camp|0|0|1|0|0|Agriculture, Local Authority, Works and Supply
Increase Agricultural Production and Productivity|Infrastructure Development|Construction of Grain Storage Sheds|Nangoma, Kaindu, Nalusanga, Chiwena, Muchabi|1|1|1|1|1|Agriculture, Local Authority, Works and Supply
Increase Agricultural Production and Productivity|Infrastructure Development|Upgrade Grain Storage capacity to reduce on post- harvest losses|Kamilambo, Mumba, Nambala, Chibolyo, Choma wards|0|1|1|2|1|MoA, Local Authority, Works and Supply
Improve agricultural production and productivity|Agri-Business Development|Establishment of 5 commercial agro- processing plants|Mumbwa central, Nambala, Nalubanda, Kaindu and Nangoma blocks|0|2|1|1|1|MoA/PPP
Improve agricultural production and productivity|Agri-Business Development|Increase the number of farmers accessing affordable farming Inputs under FISP from 15,942 to 22,000|Choombwa, Kamilambo, Kawama, Kafwikamo, Chipa, Chikanda, Naluvwi, Moono, Mumba, Myooye, Matala, Nalusanga, Mupona, Kabwanga, Chibila, Kashinka, Shimbizhi, Nangoma, Mumba Scheme, Chiwena, Chona, Nakasaka,|15,942|16,925|18,925|20,925|22,000|MoA
Improve agricultural production and productivity|Agri-Business Development||Moono, Mulendema, Chibuluma camps||||||
Improve agricultural production and productivity|Agricultual Mechanization|Increase the number of farmers owning tractors with implements from 45 to 65 in five years|Choombwa, Kamilambo, Kawama, Kafwikamo, Chipa, Chikanda, Naluvwi, Moono, Mumba, Myooye, Matala, Nalusanga, Mupona, Kabwanga, Chibila, Kashinka, Shimbizhi, Nangoma, Mumba Scheme, Chiwena, Chona, Nakasaka, Moono, Mulendema, Chibuluma camps|45|50|55|60|65|MoA
Improve agricultural production and productivity|Agricultual Mechanization|Increase the number of farmers owning animal draught power from 2,643 to 4,600 in five years|Choombwa, Kamilambo, Kawama, Kafwikamo, Chipa, Chikanda, Naluvwi, Moono, Mumba, Myooye, Matala, Nalusanga, Mupona, Kabwanga, Chibila, Kashinka, Shimbizhi, Nangoma, Mumba Scheme, Chiwena, Chona, Nakasaka, Moono, Mulendema, Chibuluma camps|0|1,150|1,150|1,150|1,150|MoA
Improve agricultural production and productivity|Agricultual Mechanization|Increase the number of farmers owning post-harvesting and processing equipment|Choombwa, Kamilambo, Kawama, Kafwikamo, Chipa, Chikanda, Naluvwi, Moono, Mumba, Myooye, Matala, Nalusanga, Mupona, Kabwanga, Chibila, Kashinka, Shimbizhi, Nangoma, Mumba Scheme, Chiwena, Chona, Nakasaka, Moono, Mulendema, Chibuluma camps|25|25|25|25|25|MoA
Improve agricultural production and productivity|Agricultual Mechanization|from 38 to 70 in five years|Matala, Nalusanga, Mupona, Kabwanga, Chibila, Kashinka, Shimbizhi, Nangoma, Mumba Scheme, Chiwena, Chona, Nakasaka, Moono, Mulendema, Chibuluma camps||||||
Improve agricultural production and productivity|Farm Block and Resettlement Schemes Development|Conduct land audit of the farm Block|Big Concession Area|1|1|1|1|1|MoA
Improve agricultural production and productivity|Farm Block and Resettlement Schemes Development|Conduct a land audit of the Resettlement Schemes|Maimwene, Mumba Scheme|2|1|1|1|1|MoA
Improve agricultural production and productivity|Farm Block and Resettlement Schemes Development|Prepare a database of land under agricultural production|All Wards|1|1|1|1|1|MoA
Improve agricultural production and productivity|Farm Block and Resettlement Schemes Development|Create a new Farm Block|Kaindu block|0|0|0|1|0|MoA
Improve agricultural production and productivity|Enhance Extension Service Support|Increase Extension Service Support|6 District, 6 Camps, 3 blocks|1 camp officer|6 district, 2 camp, 2block officers|5 camp, 2 block officers|0|0|MoA
Improve agricultural production and productivity|Enhance Extension Service Support|Procurement of 37 Motor Bikes|Choombwa, Kamilambo, Kawama, Kafwikamo, Chipa, Chikanda, Naluvwi, Moono, Mumba, Myooye, Matala, Nalusanga, Mupona, Kabwanga, Chibila, Kashinka, Shimbizhi, Nangoma, Mumba Scheme, Chiwena, Chona, Nakasaka,|0|9|9|10|9|MoA and Local authority
Improve agricultural production and productivity|Enhance Extension Service Support|Operationalize the electronic extension platform|District Agriculture Office|0|0|1|0|0|MoA
Improve agricultural production and productivity|Enhance Extension Service Support|Periodic update of farmer register|Choombwa, Kamilambo, Kawama, Kafwikamo, Chipa, Chikanda, Naluvwi, Moono, Mumba, Myooye, Matala, Nalusanga, Mupona, Kabwanga, Chibila, Kashinka, Shimbizhi, Nangoma, Mumba Scheme, Chiwena, Chona, Nakasaka, Moono, Mulendema, Chibuluma camps|1|1|1|1|1|MoA
Improve agricultural production and productivity|Enhance Extension Service Support|Prepare Farmer Marketing Bulletins|Choombwa, Kamilambo, Kawama, Kafwikamo, Chipa, Chikanda, Naluvwi, Moono, Mumba, Myooye, Matala, Nalusanga, Mupona, Kabwanga, Chibila, Kashinka, Shimbizhi, Nangoma, Mumba Scheme, Chiwena, Chona, Nakasaka, Moono, Mulendema, Chibuluma camps|0|4|4|4|4|MoA
