output|indicator|baseline|plan_target|target_2024|target_2025|target_2026|target_2027|target_2028|frequency
Monitoring of protected area|Number of forest and wildlife patrols in all natural resource reserves conducted|2023|2,500|500 Patrols|500 Patrols|500 Patrols|500 Patrols|500 Patrols|Quarterly
|Number of law enforcement patrols along Lusaka- Kaoma high way road conducted|2023|600|100 Patrols|140 Patrols|120 Patrols|120 Patrols|120 Patrols|Quarterly
|Number of community forest and wildlife rangers recruited and deployed|2023|1,000|200 Rangers|200 Rangers|200 Rangers|200 Rangers|200 Rangers|Quarterly
||||Target 2024|Target 2025|Target 2026|Target 2027|Target 2028|
Police posts constructed|Number of police posts constructed|2023|6|2|1|1|1|1|Quarterly
Police posts rehabilitated|Number of police posts rehabilitated|2023|2|0|1|1|0|0|Quarterly
Staff houses constructed|Number of staff houses constructed|2023|8|0|2|2|2|2|Quarterly
Administration blocks constructed|Number of administration blocks constructed|2023|2|0|1|1|0|0|Quarterly
Motor vehicles procured|Number of motor vehicles procured|2023|3|0|1|1|1|0|Quarterly
Motor bikes for each station procured|Number of motor bikes for each station procured|2023|25|4|4|4|4|5|Quarterly
Officers under the community crime and prevention units trained|Number of officers under the community crime and prevention units trained|2023|100|20|20|20|20|20|Quarterly
Community sensitisations on GBV and other crimes conducted|Number of community sensitisations on GBV and other crimes conducted|2023|100|20|20|20|20|20|Quarterly
