serial_number|details|annual_budget_2020|annual_revenue_collected_2020|percent_2020|annual_budget_2021|annual_revenue_collected_2021|percent_2021|annual_budget_2022|annual_revenue_collected_2022|percent_2022
1|Owner’s Rates|2699838.0|1029742.0|38.0|2169041.0|1737342.0|80|2028062.0|1724334.98|85
2|Local Taxes|120300.0|67354.0|56.0|140010.0|67827.0|48|45000.0|47103.5|105
3|Fees And Charges|3535060.0|2735679.0|77.0|4623733.0|3852416.0|83|3879548.0|3510756.75|90
4|Licences|128700.0|25660.0|20.0|188250.0|25825.0|14|34849.0|66070.0|190
5|Levies|788200.0|1036561.0|132.0|978500.0|1326151.0|136|1326500.0|1699599.0|128
6|Permits|833250.0|291326.0|35.0|914269.0|288501.0|32|260686.0|611971.2|235
7|Charges (Development)|4871000.0|696350.0|14.0|4960000.0|233710.0|5|6159400.0|48050.0|1
8|Other Income|0.0|61707.0||864341.0|778454.0|90|1159961.0|909590.14|78
9|National Support|13182137.0|16757605.0|127.0|13182138.0|13174979.0|100|13182133.0|11051041.04|84
10|Grant in Liue of Rates|0.0||0.0|0.0|0.0|0|880000.0|0.0|0
|Grand Total|26158485.0|23257984.0|89.0|28020282.0|21485205.0|77|29981701.74|22989169.35|77
