income_details|year_1|year_2|year_3|year_4|year_5
Owners Rates|2028062.0|2621394.0|2732200.0|3100000.0|3520000.0
Local Tax|45000.0|75000.0|105000.0|120000.0|152000.0
Fees & Charges|3879548.0|5500269.0|7240000.0|8200000.0|10120000.0
License|66070.0|2380300.0|1280100.0|1500000.0|2500000.0
Levies|1326500.0|2361156.0|2420000.0|2500100.0|2600000.0
Permits|260686.0|5125403.0|3200000.0|3500000.0|3700000.0
Charges|6159400.0|4415300.0|4200000.0|4500000.0|4800000.0
National Support|13182133.0|15204954.0|15830000.0|16200000.0|17340000.0
Local Development Fund - CDF|47479821.82|56627804.02|56627804.02|56627804.02|56627804.0
Total|74427220.82|94311580.0|93635104.02|96247904.02|101359804.0
