strategy|programme|activity|location_by_priority|target_2024|target_2025|target_2026|target_2027|target_2028|responsible_agency
Increase access to quality health care|Infrastructure development|Construction of 21 Health Service Access Points|Mwanamango, Mapoko, Kasumpa, Mituntu, Kambobe, Katubulushi, Mweempe, Malima, Machipisa, Shimunungu, Kaumbu, Shamabanze, Ngobola, Musantu, Mukubu, Kaunga, Big Concession, Chombwa, Miyumbe, Itumbwe, Chisalu|1|5|5|5|5|MOH/LA
Increase access to quality health care|Infrastructure development|Expand Infrastructure of Maternity Annexes|Shakumbila, Keezwa, Muchabi, Nambala, Nakanjoli, Kapepe, Chunga, Nalusanga, Luili, Namabanga, Lubemba, Kashinka Prisons, Kafwikamo, Kitumba, Maimwene, Chiwena, Kayumweyumwe|0|4|4|4|4|MOH/LA
Increase access to quality health care|Infrastructure development|Rehabilitate 18 Shelters for Waiting Mothers|Shakumbila, Keezwa, Muchabi, Nakanjoli, Chunga, Nalusanga, Luili, Namabanga, Lubemba, Kashinka, Kitumba, Chiwena, Kayumweyumwe, Naluvwi, Shimbizhi, Kabwanga, Bulungu, Mulungushi|0|4|4|4|6|MOH/LA
Increase access to quality health care|Infrastructure development|Connection of 17 Health Facilities to the National Grid|Nalubanda, Lutale, Kapepe, Lungobe, Shakumbila, Keezwa, Muchabi, Nakanjoli, Chunga, Nalusanga, Luili, Namabanga, Lubemba, Kashinka, Kayumweyumwe, Naluvwi, Kamilambo|2|4|4|4|4|MOH/LA
Increase access to quality health care|Infrastructure development|Connect of Water Reticulation to Health Facilities|Myooye, Shakumbila, Naluvwi, Nambala, Lutale, Kapepe, Chunga, Luili, Namabanga, Lubemba, Kashinka, Kabwanga, Maimwene, Chiwena, Kayumweyumwe|0|4|4|4|4|MOH/LA
Increase access to quality health care|Equipment and Transport Procurement|Provision of Transport Services|Mumbwa District Hospital, Nangoma Mission Hospital, District Heath Office|1|2|2|0|0|MOH/LA
Increase access to quality health care|and Maintenance||||||||
Strengthen Public Health|Provision of Adolescent Youth Friendly Spaces|Provide Adolescent Youth Friendly Spaces|Nalubanda, Myooye, Lutale, Kapepe, Lungobe, Shakumbila, Keezwa, Muchabi, Nakanjoli, Chunga, Nalusanga, Luili, Namabanga, Lubemba, Kashinka Prisons, Kitumba, Chiwena, Kayumweyumwe, Naluvwi, Shimbizhi, Kabwanga, Maimwene, Kamilambo, Bulungu, Mulungushi|0|5|5|5|5|MOH/LA
Strengthen Public Health|Mental Health and Substance Abuse Management|Increase Health Facility Capacity to Provide Mental Health Services|Mumbwa District Hospital|0|0|1|0|0|MOH/LA
Strengthen Public Health|Family planning promotion|Capacity Strengthening of FP Service Delivery|All Health Facilities|0|12|12|12|12|MOH/LA
Strengthen Public Health|Equipment and Transport Procurement and Maintenance|Provision of logistics for rapid response to public health concerns (Epidemic|Mumbwa and Nangoma Hospital|0|1|1|0|0|MOH/LA
Strengthen Public Health|Equipment and Transport Procurement and Maintenance|Provision of Imaging Services|Mumbwa District Hospital|0|1|1|0|0|MOH/LA
Strengthen Public Health|Equipment and Transport Procurement and Maintenance|Provision of Sterilization Services|All Health Facilities|0|5|5|5|5|MOH/LA
Strengthen Public Health|Equipment and Transport Procurement and Maintenance|Provision of Laboratory Services|Mumbwa and Nangoma Hospital|0|2|0|0|0|MOH/LA
Strengthen Public Health|Health Education Promotion|Conduct Radio Programmes|District Health Office|12|12|12|12|12|MOH/LA
Strengthen Public Health|Health Education Promotion|Provide Outreach Programmes|All health facilities|12|12|12|12|12|MOH/LA
