block|camp|number_of_staff|standard_farmers_per_staff|total_number_of_farmers|farmers_without_staff_service|percent_farmers_without_staff_service
Kaindu|Mpusu|1|500|1253|753|61
Kaindu|Kalwanyembe|1|500|2053|1553|76
Kaindu|Kawama|1|500|1663|1163|70
Kaindu|Kafwikamo|1|500|879|379|44
Kaindu|Kamilambo|1|500|2224|1724|75
Central|Mumba|1|500|2797|1797|65
Central|Kabwanga|1|500|2658|2158|82
Central|Mupona|1|500|2788|2288|83
Central|Chibila|1|500|1688|1188|71
Central|Kashinka|1|500|786|286|37
Nambala|Chibuluma|1|500|1956|1456|75
Nambala|Mulendema|1|500|1995|1495|75
Nambala|Kabulwebulwe|1|500|1960|1460|75
Nambala|Chikanda|1|500|2557|2057|81
Nambala|Nalusanga|1|500|788|288|37
Nambala|Moono|1|500|989|489|49
Nambala|Choona|1|500|1031|531|52
Nambala|Chipa|1|500|657|157|24
Nalubanda|Nalubanda|1|500|2076|1576|76
Nalubanda|Choombwa|1|500|2016|1516|76
Nalubanda|Muchabi|1|500|1829|1329|73
Nalubanda|Naluvwi|1|500|1876|1376|74
Nalubanda|Myooye|1|500|2562|2062|81
Nangoma|Nangoma|1|500|2560|2060|81
Nangoma|Chiwena|1|500|2382|1882|80
Nangoma|Matala|1|500|2780|2280|83
Nangoma|Mumba Scheme|1|500|2301|1801|79
Nangoma|Shimbizhi|1|500|1376|876|64
Nangoma|Nakasaka|1|500|1880|1380|74
