S/No.|Name of Facility|Incinerator|Mother’ s Waiting Shelter|Reticulated Water System|Waterborne Toilets|Relative’s Shelter|Maternity Wing|Placenta Pit
1|Bulungu Urban Health Centre|Yes|No|Yes|Yes|No|Yes|Yes
2|Chiwena Rural Health Centre|No|Yes|Yes|No|No|No|No
3|Chunga Rural Health Centre|No|No|No|No|No|No|No
4|Kabwanga Rural Health Centre|No|No|No|No|No|No|Yes
5|Kafwikamo Health Post|Yes|Yes|Yes|No|No|No|No
6|Kaindu Rural Health Centre|Yes|Yes|Yes|Yes|No|No|Yes
7|Kalenda Zambia National Service Rural Health Centre|Yes|Yes|Yes|Yes|No|Yes|Yes
8|Kamilambo Rural Health Centre|Yes|Yes|Yes|No|No|No|Yes
9|Kapepe Health Post|Yes|Yes|Yes|No|No|No|No
10|Kashinka Health Post|Yes|No|No|No|No|No|No
11|Kayumweyumwe Health Post|Yes|Yes|Yes|No|No|No|No
12|Keezwa Rural Health Centre|Yes|Yes|Yes|No|No|No|Yes
13|Kitumba Correctional Farm Health Post|No|No|Yes|No|No|No|No
14|Lubemba Health Post|No|No|No|No|No|No|No
15|Luili Rural Health Centre|Yes|No|No|No|No|No|No
16|Lungobe Rural Health Centre|Yes|Yes|Yes|Yes|No|Yes|No
17|Lutale Rural Health Centre|Yes|No|No|No|No|No|No
18|Maimwene Health Post|No|No|No|No|No|No|No
19|Mpusu Health Post|Yes|Yes|Yes|No|No|No|No
20|Muchabi Rural Health Centre|No|No|Yes|No|No|No|No
21|Mulungushi Rural Health Centre|No|No|Yes|Yes|No|Yes|Yes
22|Mumbwa District Hospital|Yes|Yes|Yes|Yes|Yes|No|No
24|Mumbwa Prisons Health Post|No|No|Yes|No|No|No|No
25|Myooye Rural Health Centre|Yes|Yes|Yes|No|No|No|Yes
26|Nakanjoli Rural Health Centre|Yes|Yes|Yes|No|No|No|Yes
27|Nalubanda Rural Health Centre|No|No|Yes|No|No|No|No
28|Nalusanga Health Post|No|No|Yes|No|No|No|Yes
29|Naluvwi Health Post|Yes|Yes|No|No|No|No|Yes
30|Namabanga Health Post|No|No|No|No|No|No|Yes
31|Nambala Rural Health Centre|Yes|Yes|No|No|No|No|No
32|Nangoma Hospital Affiliated Health Centre|Yes|No|Yes|Yes|No|No|No
33|Nangoma Mission Hospital|Yes|Yes|Yes|Yes|Yes|Yes|Yes
34|Shakumbila Health Post|No|No|No|No|No|No|Yes
35|Shimbizhi Health Post|No|No|Yes|No|No|No|No
36|Zambia Air Force Mumbwa Rural Health Centre|No|No|Yes|Yes|No|No|Yes
