council_name|record_type|category|description|source_url
Mumbwa Town Council|department|Institutional Management|Consists of the principal officer, the Council Secretary, as well as procurement and audit sections.|https://www.mumbwacouncil.gov.zm/?page_id=770
Mumbwa Town Council|department|Planning|Plans the overall layout of the district, upgrading of shanty areas, township boundaries, standard building plans, land distribution, title deeds, HIV/AIDS, gender and human rights sensitisation, community development activities, and public health.|https://www.mumbwacouncil.gov.zm/?page_id=770
Mumbwa Town Council|department|Engineering Services|Facilitates feeder roads, borehole drilling, inspection of buildings, scrutiny of building plans, burial sites, fire brigade services, and maintenance of plant and machinery.|https://www.mumbwacouncil.gov.zm/?page_id=770
Mumbwa Town Council|department|Finance|Collection of revenue, preparation of statutory obligations, and preparation of books of accounts.|https://www.mumbwacouncil.gov.zm/?page_id=770
Mumbwa Town Council|department|Human Resource and Administration|Staff establishment, asset management, records keeping, training and development, recruitment, staff appraisals, minutes and report writing, discipline, conditions of service, and public relations services.|https://www.mumbwacouncil.gov.zm/?page_id=770
Mumbwa Town Council|department|Fisheries, Livestock and Veterinary Services||https://www.mumbwacouncil.gov.zm/?page_id=770
Mumbwa Town Council|department|Agriculture||https://www.mumbwacouncil.gov.zm/?page_id=770
Mumbwa Town Council|service/responsibility|Infrastructure and Administration|Establish and maintain offices, buildings, public meeting facilities and assemblies needed for Council administration.|https://www.mumbwacouncil.gov.zm/?page_id=792
Mumbwa Town Council|service/responsibility|Law, Order, and National Security|Maintain law and order, safeguard national security, and promote efficient governance within the Council jurisdiction.|https://www.mumbwacouncil.gov.zm/?page_id=792
Mumbwa Town Council|service/responsibility|Advertising and Public Spaces|Regulate and control advertisements and advertising devices visible from streets and other public areas.|https://www.mumbwacouncil.gov.zm/?page_id=792
Mumbwa Town Council|service/responsibility|Animal Welfare and Livestock Management|Regulate livestock movement, animal slaughter, meat certification, disposal of diseased carcasses, hygiene in abattoirs and cold storage, animal by-products, and transport of carcasses.|https://www.mumbwacouncil.gov.zm/?page_id=792
Mumbwa Town Council|service/responsibility|Transportation and Road Safety|Develop and maintain road infrastructure, regulate traffic and parking, and implement road-safety measures.|https://www.mumbwacouncil.gov.zm/?page_id=792
Mumbwa Town Council|service/responsibility|Public Lighting and Utilities|Establish and maintain street lighting systems for safety and accessibility.|https://www.mumbwacouncil.gov.zm/?page_id=792
Mumbwa Town Council|service/responsibility|Business Regulation and Licensing|Inspect business establishments and enforce compliance, including regulations concerning the sale and consumption of intoxicating liquor.|https://www.mumbwacouncil.gov.zm/?page_id=792
Mumbwa Town Council|service/responsibility|Housing and Urban Development|Construct, purchase and maintain buildings and facilities for residential accommodation and encourage adequate housing development.|https://www.mumbwacouncil.gov.zm/?page_id=792
Mumbwa Town Council|service/responsibility|Land Use and Environmental Management|Regulate land use and building construction for public health, safety and orderly development, including demolition and removal of buildings.|https://www.mumbwacouncil.gov.zm/?page_id=792
