council_name|year|source_document|page_number|resolution_text|source_url
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|8|would be resolved quickly by relevant authorities.|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|9|2023 be Received and Adopted as part of|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|10|Received and Adopted as part of the proceedings of|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|10|Adopted as part of the proceedings of the|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|11|Received and Adopted as part of the proceedings of|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|13|It was recommended that the request be considered in the|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|13|Department be approved as recommended.|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|14|2023 and 25th September, 2023 be Received and Adopted|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|14|resolutions passed by the Committees and adopted by the ordinary|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|14|S/N MINUTE NO. RESOLUTION ACTION TAKEN|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
Mumbwa Town Council|2023|MINUTES OF THIRD ORDINARY COUNCIL MEETING OF 9TH OCTOBER, 2023|14|planned areas be approved as|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/MINUTES-OF-THIRD-ORDINARY-COUNCIL-MEETING-OF-9TH-OCTOBER-2023.pdf
