council_name|year|information_type|constituency|title|source_url
Mumbwa Town Council|2018|development information||The-Constituency-Development-Fund-Act-No.-11-of-2018|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/The-Constituency-Development-Fund-Act-No.-11-of-2018.pdf
Mumbwa Town Council|2022|CDF||CDF-Report-2022|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/CDF-Report-2022.pdf
Mumbwa Town Council|2023|CDF|Mumbwa Central|Press Statement Mumbwa CDF|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2023/12/Press-Statement-Mumbwa-CDF-Nov.pdf
Mumbwa Town Council|2024|community project||2024 Approved CDF Community Projects|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2024/09/2024-CDF-COMMUNITY-PROJECTS-AS-AT-31ST-AUGUST-2024.pdf
Mumbwa Town Council|2024|stakeholder/community meeting||2024 Minutes for the Stakeholders Engagement Meeting With Business Community|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/11/Minutes-for-the-Skaeholders-Engagement-Meeting-With-Business-Community-Held-on-5-July-2024.pdf
Mumbwa Town Council|2024|community project|Mumbwa Central and Nangoma|2024 Proposed CDF Projects All Components – Mumbwa and Nangoma Constituencies|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2024/10/2024-CDF-Proposed-Projects-All-Components-Mumbwa-and-Nangoma-Constituencies.pdf
Mumbwa Town Council|2026|CDF||2026 CDF APPLACATIONS-GRANTS|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/07/2026-CDF-APPLACATIONS-GRANTS.pdf
Mumbwa Town Council|2026|community project||2026 CDF APPLICATIONS-COMMUNITY PROJECTS|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/07/2026-CDF-APPLICATIONS-COMMUNITY-PROJECTS.pdf
Mumbwa Town Council|2026|CDF||2026 CDF APPLICATIONS-SECONDARY BOARDING BURSARIES|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/07/2026-CDF-APPLICATIONS-SECONDARY-BOARDING-BURSARIES.pdf
Mumbwa Town Council|2026|CDF||2026 CDF APPLICATIONS-SKILLS BURSARIES|https://www.mumbwacouncil.gov.zm/wp-content/uploads/2025/07/2026-CDF-APPLICATIONS-SKILLS-BURSARIES.pdf
