category,table_name,file_path,rows,columns,separator,column_names
CDF,db-unza26-csc4792-mumbwa_town_council_cdf_community_projects,data/CDF/final/db-unza26-csc4792-mumbwa_town_council_cdf_community_projects.csv,30,19,pipe (|),record_number; project_name; project_description; sector; type_of_project; district; constituency; ward; zone; project_site_location; distance_km; year_funded; work_package; scope_of_works; status; comments; source_id; year; cdf_category
CDF,db-unza26-csc4792-mumbwa_town_council_cdf_grants,data/CDF/final/db-unza26-csc4792-mumbwa_town_council_cdf_grants.csv,139,13,pipe (|),record_number; group_name; group_type; district; constituency; ward; zone; contact_person; venture_type; sector; source_id; year; cdf_category
CDF,db-unza26-csc4792-mumbwa_town_council_cdf_not_approved_community_projects,data/CDF/final/db-unza26-csc4792-mumbwa_town_council_cdf_not_approved_community_projects.csv,135,19,pipe (|),record_number; project_name; project_description; sector; type_of_project; district; constituency; ward; zone; project_site_location; distance_km; year_funded; work_package; scope_of_works; status; comments; source_id; year; cdf_category
CDF,db-unza26-csc4792-mumbwa_town_council_cdf_secondary_bursaries,data/CDF/final/db-unza26-csc4792-mumbwa_town_council_cdf_secondary_bursaries.csv,787,18,pipe (|),record_number; pupil_name; province; district; constituency; ward; zone; gender; date_of_birth; grade; grade_started_on_bursary; new_grade_2025; school_name; school_location; status; source_id; year; cdf_category
CDF,db-unza26-csc4792-mumbwa_town_council_cdf_skills_bursaries,data/CDF/final/db-unza26-csc4792-mumbwa_town_council_cdf_skills_bursaries.csv,780,16,pipe (|),record_number; student_name; nrc_no; province; district; constituency; ward; zone; gender; course_or_skill; skill_level; programme_duration; institution; source_id; year; cdf_category
Council_Structure_and_Management,db-unza26-csc4792_council_administrative_data,data/Council_Structure_and_Management/final/db-unza26-csc4792_council_administrative_data.csv,16,5,pipe (|),council_name; record_type; category; description; source_url
Council_Structure_and_Management,db-unza26-csc4792_ward_development_committee_information,data/Council_Structure_and_Management/final/db-unza26-csc4792_ward_development_committee_information.csv,10,6,pipe (|),council_name; year; information_type; constituency; title; source_url
IDP,db-unza26-csc4792-mumbwa_council_projects_2023,data/IDP/final/db-unza26-csc4792-mumbwa_council_projects_2023.csv,17,20,pipe (|),project_id; council; project_name; category; phase; start_year; end_year; priority; status_2023; location; description; estimated_unit_cost_zmw; estimated_total_cost_zmw; available_quantity_2023; proposed_quantity; quantity_shortfall; verification_status; currency; source_document; source_year
IDP,db-unza26-csc4792-mumbwa_strategic_community_projects_website_raw,data/IDP/final/db-unza26-csc4792-mumbwa_strategic_community_projects_website_raw.csv,1,7,pipe (|),project_name; funding_programme; project_description; community_benefit; latitude; longitude; source
IDP,db-unza26-csc4792_availability_of_water_supply_services,data/IDP/final/db-unza26-csc4792_availability_of_water_supply_services.csv,6,4,pipe (|),serial_number; dam_name; status; use
IDP,db-unza26-csc4792_capital_investment_plan_for_economic_transformation_and_job_creation,data/IDP/final/db-unza26-csc4792_capital_investment_plan_for_economic_transformation_and_job_creation.csv,114,10,pipe (|),strategy; activity; input; cost_2024; cost_2025; cost_2026; cost_2027; cost_2028; proposed_source_of_funding; source_of_information
IDP,db-unza26-csc4792_capital_investment_plan_for_good_governance_environment_cluster,data/IDP/final/db-unza26-csc4792_capital_investment_plan_for_good_governance_environment_cluster.csv,12,10,pipe (|),strategy; activity; input; cost_2024; cost_2025; cost_2026; cost_2027; cost_2028; proposed_source_of_funding; source_of_information
IDP,db-unza26-csc4792_capital_investment_plan_for_human_and_social_development_cluster,data/IDP/final/db-unza26-csc4792_capital_investment_plan_for_human_and_social_development_cluster.csv,94,10,pipe (|),strategy; activity; input; cost_2024; cost_2025; cost_2026; cost_2027; cost_2028; proposed_source_of_funding; source_of_information
IDP,db-unza26-csc4792_cash_for_work,data/IDP/final/db-unza26-csc4792_cash_for_work.csv,4,11,pipe (|),programme_name; implementing_institution; start_date; target_wards; beneficiaries_to_date; funding_source; objectives; beneficiary_selection; target_groups; activity; source_url
IDP,db-unza26-csc4792_cfmgs_established_protected_areas_and_open_areas,data/IDP/final/db-unza26-csc4792_cfmgs_established_protected_areas_and_open_areas.csv,8,4,pipe (|),serial_number; name_of_cfmg; place; hectares
IDP,db-unza26-csc4792_district_electricity_supply,data/IDP/final/db-unza26-csc4792_district_electricity_supply.csv,4,3,pipe (|),location; percent_facilities_connected; percent_facilities_pending_connection
IDP,db-unza26-csc4792_economic_transformation_and_job_creation_implementation_plan,data/IDP/final/db-unza26-csc4792_economic_transformation_and_job_creation_implementation_plan.csv,77,10,pipe (|),strategy; programme; activity; location_by_priority; target_2024; target_2025; target_2026; target_2027; target_2028; responsible_agency
IDP,db-unza26-csc4792_environmental_sustainability_implementation_plan,data/IDP/final/db-unza26-csc4792_environmental_sustainability_implementation_plan.csv,8,10,pipe (|),strategy; programme; activity; location_by_priority; target_2024; target_2025; target_2026; target_2027; target_2028; responsible_agency
IDP,db-unza26-csc4792_good_governance_environment_monitoring_plan,data/IDP/final/db-unza26-csc4792_good_governance_environment_monitoring_plan.csv,11,10,pipe (|),output; indicator; baseline; plan_target; target_2024; target_2025; target_2026; target_2027; target_2028; frequency
IDP,db-unza26-csc4792_human_and_social_development_implementation_plan,data/IDP/final/db-unza26-csc4792_human_and_social_development_implementation_plan.csv,62,10,pipe (|),strategy; programme; activity; location_by_priority; target_2024; target_2025; target_2026; target_2027; target_2028; responsible_agency
IDP,db-unza26-csc4792_key_implementation_sector_priorities,data/IDP/final/db-unza26-csc4792_key_implementation_sector_priorities.csv,12,3,pipe (|),priority_area; baseline; target
IDP,db-unza26-csc4792_locally_generated_revenue,data/IDP/final/db-unza26-csc4792_locally_generated_revenue.csv,8,6,pipe (|),income_details; year_1; year_2; year_3; year_4; year_5
IDP,db-unza26-csc4792_number_of_available_classrooms_and_toilets,data/IDP/final/db-unza26-csc4792_number_of_available_classrooms_and_toilets.csv,5,3,pipe (|),school_category; number_of_classrooms; number_of_toilets
IDP,db-unza26-csc4792_number_of_facilities_connected_to_electrical_grid_and_solar_power,data/IDP/final/db-unza26-csc4792_number_of_facilities_connected_to_electrical_grid_and_solar_power.csv,6,5,pipe (|),school_category; zesco; solar_power; connected_to_national_grid; total
IDP,db-unza26-csc4792_number_of_schools_in_mumbwa_district,data/IDP/final/db-unza26-csc4792_number_of_schools_in_mumbwa_district.csv,4,3,pipe (|),serial_number; school_category; number_of_schools
